label,message
ham,"Hi, are you coming to college today?"
ham,"Please submit the assignment before 5 PM."
ham,"Let's meet in the library after class."
ham,"Can you send me yesterday's notes?"
ham,"Your lab exam is scheduled for tomorrow."
ham,"I will call you after lunch."
ham,"Project review meeting is at 2 PM."
ham,"Happy birthday! Have a great day."
ham,"Please attend the seminar at 10 AM."
ham,"See you in the classroom."
ham,"Don't forget to bring your ID card."
ham,"The class starts at 9 AM tomorrow."
ham,"Can we discuss the project after lunch?"
ham,"Your internal marks have been updated."
ham,"Meet me near the college gate."
ham,"I have shared the notes in WhatsApp."
ham,"Please check your email for the timetable."
ham,"The staff meeting is postponed to Friday."
ham,"Let's prepare for the lab exam together."
ham,"Your library book return date is tomorrow."
