label,message
spam,"Congratulations! You won a free iPhone. Click here now!"
ham,"Hi, are you coming to college today?"
spam,"Urgent! Your account has been selected for a cash prize."
ham,"Please submit the assignment before 5 PM."
spam,"Win ₹50,000 now by clicking this special link!"
ham,"Let's meet in the library after class."
spam,"Free recharge available. Claim your reward now!"
ham,"Can you send me yesterday's notes?"
spam,"You have been chosen for a lucky draw prize."
ham,"Your lab exam is scheduled for tomorrow."
spam,"Limited offer! Get free vouchers instantly."
ham,"I will call you after lunch."
spam,"Your bank account needs verification. Click here."
ham,"Project review meeting is at 2 PM."
spam,"Claim your free vacation package today!"
ham,"Happy birthday! Have a great day."
spam,"Exclusive deal! Buy now and win rewards."
ham,"Please attend the seminar at 10 AM."
spam,"Your mobile number won a grand prize!"
ham,"See you in the classroom."
